mex_sector,mex_subsector,ID,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Code
[2] Procesos industriales y uso de productos,[2B] Industria química,[2B] Industria químicaCO2,CO2,5.49664551,5.47506631,5.63045285,4.72036199,5.20048066,5.1927041,5.29813761,4.85983082,4.43599217,3.53998362,3.24470778,2.71471597,2.63580061,2.4913729,2.69347061,2.6072492,2.75497918,2.82893278,2.99573103,2.87735884,3.15907198,3.13172256,3.16308724,2.88464919,2.88011726,2.45366349,2.2040219,3.12024675,2.8342493,2.35783087,2.44691518,2.35438386,2.20256088,2.22056683,MEX
[2] Procesos industriales y uso de productos,[2B] Industria química,[2B] Industria químicaHFCS,HFCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33973568,MEX
[2] Procesos industriales y uso de productos,[2B] Industria química,[2B] Industria químicaHFCs,HFCs,0.76063584,0.88287008,0.56639232,0.86986,0.69528288,0.64778096,1.63200864,1.66858814,1.31220272,1.80961136,1.30433616,0.96940224,1.49676432,1.54819952,1.54819952,2.65526656,3.78387587,4.28152656,4.24249632,3.850076,3.81794413,3.57405051,2.38175232,2.23228768,2.78778784,1.43773486,0,0,2.33485552,1.7185408,0.59362272,1.97390144,0.62599664,0,MEX
[2] Procesos industriales y uso de productos,[2B] Industria química,[2B] Industria químicaN2O,N2O,0.87291,1.01872652,0.61714499,0.69518219,0.76263714,1.30096026,1.5927507,1.28224755,1.18831433,1.02079193,0.5506488,0.46256837,0.31791812,0.33088536,0.3302748,0.33607274,0.36317111,0.35570129,0.26483517,0.29446164,0.73803939,0.74886252,0.71899243,0.69564778,0.69267383,0.70407907,0.69055612,0.71948879,0.72695134,0.65338575,0.47715152,0.54170944,0.49231139,0.40814744,MEX
[2] Procesos industriales y uso de productos,[2B] Industria química,[2B] Industria químicaNF3,NF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2B] Industria química,[2B] Industria químicaPFCs,PFCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2B] Industria química,[2B] Industria químicaSF6,SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2C] Industria de los metales,[2C] Industria de los metalesCH4,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255598,0.00270795,0.00255598,0.00301932,0.00296588,0.00266686,0.00274381,0.00396092,0.00398755,0.0040226,0.00327075,0.00352152,0.00321736,0.00204428,0.00210896,0.00343392,0.00311248,0.00206751,0.0019,0.00187624,0,MEX
[2] Procesos industriales y uso de productos,[2C] Industria de los metales,[2C] Industria de los metalesCO2,CO2,11.21141401,9.57546117,10.07306981,10.60188647,11.24901211,13.03099999,13.82588452,14.8853296,15.74000095,16.82402835,16.47045565,13.50022423,13.61475559,16.9000083,17.83040029,17.4403675,16.55466125,18.2891575,18.46597493,15.0479934,18.2155392,18.81712382,18.54725369,19.39429657,19.9701694,18.25769384,17.98121496,18.60641786,18.65551881,17.28326286,13.30639333,14.50853346,13.9880806,11.36953442,MEX
[2] Procesos industriales y uso de productos,[2C] Industria de los metales,[2C] Industria de los metalesHFCs,HFCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2C] Industria de los metales,[2C] Industria de los metalesNF3,NF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2C] Industria de los metales,[2C] Industria de los metalesPFCs,PFCs,0.43773226,0.32077028,0.28355907,0.17318195,0,0.06996755,0.4126829,0.44586255,0.45255049,0.52179075,0.56854322,0.34604138,0.26205075,0.16798125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2C] Industria de los metales,[2C] Industria de los metalesSF6,SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2D] Uso de productos no energéticos de combustibles y de solvente,[2D] Uso de productos no energéticos de combustibles y de solventeCO2,CO2,0.29095331,0.30654097,0.30969098,0.25911393,0.26258642,0.26782318,0.27380894,0.23234771,0.22905051,0.32737822,0.23282056,0.20518841,0.21124678,0.20279524,0.20637193,0.20314252,0.2006451,0.20470713,0.19301158,0.15797308,0.16178529,0.14360344,0.14899472,0.16316478,0.14425824,0.09430489,0.12256832,0.07843883,0.07277985,0.03549041,0.00820249,0.00460941,0.00821221,0.00452108,MEX
[2] Procesos industriales y uso de productos,[2D] Uso de productos no energéticos de combustibles y de solvente,[2D] Uso de productos no energéticos de combustibles y de solventeHFCs,HFCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2D] Uso de productos no energéticos de combustibles y de solvente,[2D] Uso de productos no energéticos de combustibles y de solventeNF3,NF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2D] Uso de productos no energéticos de combustibles y de solvente,[2D] Uso de productos no energéticos de combustibles y de solventePFCs,PFCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2D] Uso de productos no energéticos de combustibles y de solvente,[2D] Uso de productos no energéticos de combustibles y de solventeSF6,SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2E] Industria electrónica,[2E] Industria electrónicaHFCS,HFCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00063268,MEX
[2] Procesos industriales y uso de productos,[2E] Industria electrónica,[2E] Industria electrónicaHFCs,HFCs,0,0,0,0,0,0,0,0,0.00001159,0.00005591,0.00010022,0.00014454,0.00018885,0.00023317,0.00024344,0.00025371,0.00026399,0.00027426,0.00028453,0.0002948,0.00030508,0.00031535,0.00032562,0.0003359,0.00037359,0.00041129,0.00044898,0.00048668,0.00052437,0.00057244,0.00056851,0.00069837,0.00069855,0,MEX
[2] Procesos industriales y uso de productos,[2E] Industria electrónica,[2E] Industria electrónicaN2O,N2O,0,0,0,0,0,0,0,0,0.00000499,0.00002406,0.00004312,0.00006219,0.00008126,0.00010033,0.00010475,0.00010917,0.00011359,0.00011801,0.00012243,0.00012685,0.00013127,0.00013569,0.00014011,0.00018992,0.00020955,0.00022677,0.00024206,0.00026059,0.00027713,0.00030116,0.00029195,0.00035545,0.00035817,0.00032546,MEX
[2] Procesos industriales y uso de productos,[2E] Industria electrónica,[2E] Industria electrónicaNF3,NF3,0,0,0,0,0,0,0,0,0.00004501,0.00021706,0.00038911,0.00056116,0.00073321,0.00090526,0.00094514,0.00098503,0.00102491,0.00106479,0.00110468,0.00114456,0.00118445,0.00122433,0.00126422,0.0015126,0.00167464,0.00182556,0.00196766,0.00212462,0.00227245,0.00247445,0.00242465,0.00296463,0.00297668,0.00270088,MEX
