subsector_ssp,mex_sector,mex_subsector,gas,ID,vars,ids,MEX,
ippu,[2] Procesos industriales y uso de productos,[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,HFCS,[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono:HFCS,emission_co2e_hfcs_ippu_product_use_product_use_ods_other:emission_co2e_hfcs_ippu_product_use_product_use_ods_refrigeration,36:[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono:HFCS,29.39323567,36
ippu,[2] Procesos industriales y uso de productos,[2G] Manufactura y utilización de otros productos,PFCS,[2G] Manufactura y utilización de otros productos:PFCS,emission_co2e_pfcs_ippu_production_other_product_manufacturing,37:[2G] Manufactura y utilización de otros productos:PFCS,0,37
ippu,[2] Procesos industriales y uso de productos,[2G] Manufactura y utilización de otros productos,SF6,[2G] Manufactura y utilización de otros productos:SF6,emission_co2e_sf6_ippu_production_other_product_manufacturing,38:[2G] Manufactura y utilización de otros productos:SF6,0.39865417,38
ippu,[2] Procesos industriales y uso de productos,[2H] Otros,CO2,[2H] Otros:CO2,emission_co2e_co2_ippu_production_paper:emission_co2e_co2_ippu_production_plastic,39:[2H] Otros:CO2,0.03182073,39
lvst,[3] Agricultura,[3A] Fermentación entérica,CH4,[3A] Fermentación entérica:CH4,emission_co2e_ch4_lvst_entferm_buffalo:emission_co2e_ch4_lvst_entferm_cattle_dairy:emission_co2e_ch4_lvst_entferm_cattle_nondairy:emission_co2e_ch4_lvst_entferm_chickens:emission_co2e_ch4_lvst_entferm_goats:emission_co2e_ch4_lvst_entferm_horses:emission_co2e_ch4_lvst_entferm_mules:emission_co2e_ch4_lvst_entferm_pigs:emission_co2e_ch4_lvst_entferm_sheep,40:[3A] Fermentación entérica:CH4,80.282859,40
lsmm,[3] Agricultura,[3B] Gestión del estiércol,CH4,[3B] Gestión del estiércol:CH4,emission_co2e_ch4_lsmm_anaerobic_digester:emission_co2e_ch4_lsmm_anaerobic_lagoon:emission_co2e_ch4_lsmm_composting:emission_co2e_ch4_lsmm_daily_spread:emission_co2e_ch4_lsmm_deep_bedding:emission_co2e_ch4_lsmm_dry_lot:emission_co2e_ch4_lsmm_incineration:emission_co2e_ch4_lsmm_liquid_slurry:emission_co2e_ch4_lsmm_paddock_pasture_range:emission_co2e_ch4_lsmm_poultry_manure:emission_co2e_ch4_lsmm_storage_solid,41:[3B] Gestión del estiércol:CH4,19.821297,41
lsmm,[3] Agricultura,[3B] Gestión del estiércol,N2O,[3B] Gestión del estiércol:N2O,emission_co2e_n2o_lsmm_direct_anaerobic_digester:emission_co2e_n2o_lsmm_direct_anaerobic_lagoon:emission_co2e_n2o_lsmm_direct_composting:emission_co2e_n2o_lsmm_direct_daily_spread:emission_co2e_n2o_lsmm_direct_deep_bedding:emission_co2e_n2o_lsmm_direct_dry_lot:emission_co2e_n2o_lsmm_direct_incineration:emission_co2e_n2o_lsmm_direct_liquid_slurry:emission_co2e_n2o_lsmm_direct_paddock_pasture_range:emission_co2e_n2o_lsmm_direct_poultry_manure:emission_co2e_n2o_lsmm_direct_storage_solid:emission_co2e_n2o_lsmm_indirect_anaerobic_digester:emission_co2e_n2o_lsmm_indirect_anaerobic_lagoon:emission_co2e_n2o_lsmm_indirect_composting:emission_co2e_n2o_lsmm_indirect_daily_spread:emission_co2e_n2o_lsmm_indirect_deep_bedding:emission_co2e_n2o_lsmm_indirect_dry_lot:emission_co2e_n2o_lsmm_indirect_incineration:emission_co2e_n2o_lsmm_indirect_liquid_slurry:emission_co2e_n2o_lsmm_indirect_paddock_pasture_range:emission_co2e_n2o_lsmm_indirect_poultry_manure:emission_co2e_n2o_lsmm_indirect_storage_solid,42:[3B] Gestión del estiércol:N2O,8.32669444,42
lsmm,[3] Agricultura,[3B5] Emisiones indirectas de los N2O de la gestión del estiércol,N2O,[3B5] Emisiones indirectas de los N2O de la gestión del estiércol:N2O,emission_co2e_n2o_lsmm_indirect_anaerobic_digester:emission_co2e_n2o_lsmm_indirect_anaerobic_lagoon:emission_co2e_n2o_lsmm_indirect_composting:emission_co2e_n2o_lsmm_indirect_daily_spread:emission_co2e_n2o_lsmm_indirect_deep_bedding:emission_co2e_n2o_lsmm_indirect_dry_lot:emission_co2e_n2o_lsmm_indirect_incineration:emission_co2e_n2o_lsmm_indirect_liquid_slurry:emission_co2e_n2o_lsmm_indirect_paddock_pasture_range:emission_co2e_n2o_lsmm_indirect_poultry_manure:emission_co2e_n2o_lsmm_indirect_storage_solid,43:[3B5] Emisiones indirectas de los N2O de la gestión del estiércol:N2O,1.7569836,43
agrc,[3] Agricultura,[3C] Cultivo del arroz,CH4,[3C] Cultivo del arroz:CH4,emission_co2e_ch4_agrc_anaerobicdom_rice,44:[3C] Cultivo del arroz:CH4,0.113413,44
soil,[3] Agricultura,[3D1] Emisiones directas de los N2O de los suelos gestionados,N2O,[3D1] Emisiones directas de los N2O de los suelos gestionados:N2O,emission_co2e_n2o_soil_fertilizer:emission_co2e_n2o_soil_mineral_soils:emission_co2e_n2o_soil_organic_soils,45:[3D1] Emisiones directas de los N2O de los suelos gestionados:N2O,12.1779585,45
