Subsector,Gas,Edgar_Class,Edgar_Sector,Edgar_Subsector,Edgar_Subsector_Synthetic,Vars,ids,MEX
fgtv,n2o,EN - Fugitive Emissions:N2O,Energy,EN - Fugitive Emissions,EN - Fugitive Emissions,emission_co2e_n2o_fgtv_fuel_coal:emission_co2e_n2o_fgtv_fuel_natural_gas:emission_co2e_n2o_fgtv_fuel_oil:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_coal:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_crude:emission_co2e_n2o_entc_fuel_mining_and_extraction_me_natural_gas:emission_co2e_n2o_entc_processing_and_refinement_fp_ammonia_production:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_electrolysis:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_gasification:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation:emission_co2e_n2o_entc_processing_and_refinement_fp_hydrogen_reformation_ccs:emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas:emission_co2e_n2o_entc_processing_and_refinement_fp_natural_gas_liquefaction:emission_co2e_n2o_entc_processing_and_refinement_fp_petroleum_refinement,18:fgtv:n2o,0.071320744
inen,ch4,EN - Manufacturing/Construction:CH4,Energy,EN - Manufacturing/Construction,EN - Manufacturing/Construction,emission_co2e_ch4_inen_agriculture_and_livestock:emission_co2e_ch4_inen_cement:emission_co2e_ch4_inen_chemicals:emission_co2e_ch4_inen_electronics:emission_co2e_ch4_inen_glass:emission_co2e_ch4_inen_lime_and_carbonite:emission_co2e_ch4_inen_metals:emission_co2e_ch4_inen_mining:emission_co2e_ch4_inen_other_product_manufacturing:emission_co2e_ch4_inen_paper:emission_co2e_ch4_inen_plastic:emission_co2e_ch4_inen_recycled_glass:emission_co2e_ch4_inen_recycled_metals:emission_co2e_ch4_inen_recycled_paper:emission_co2e_ch4_inen_recycled_plastic:emission_co2e_ch4_inen_recycled_rubber_and_leather:emission_co2e_ch4_inen_recycled_textiles:emission_co2e_ch4_inen_recycled_wood:emission_co2e_ch4_inen_rubber_and_leather:emission_co2e_ch4_inen_textiles,19:inen:ch4,0.107179429
inen,co2,EN - Manufacturing/Construction:CO2,Energy,EN - Manufacturing/Construction,EN - Manufacturing/Construction,emission_co2e_co2_inen_nbmass_agriculture_and_livestock:emission_co2e_co2_inen_nbmass_cement:emission_co2e_co2_inen_nbmass_chemicals:emission_co2e_co2_inen_nbmass_electronics:emission_co2e_co2_inen_nbmass_glass:emission_co2e_co2_inen_nbmass_lime_and_carbonite:emission_co2e_co2_inen_nbmass_metals:emission_co2e_co2_inen_nbmass_mining:emission_co2e_co2_inen_nbmass_other_product_manufacturing:emission_co2e_co2_inen_nbmass_paper:emission_co2e_co2_inen_nbmass_plastic:emission_co2e_co2_inen_nbmass_recycled_glass:emission_co2e_co2_inen_nbmass_recycled_metals:emission_co2e_co2_inen_nbmass_recycled_paper:emission_co2e_co2_inen_nbmass_recycled_plastic:emission_co2e_co2_inen_nbmass_recycled_rubber_and_leather:emission_co2e_co2_inen_nbmass_recycled_textiles:emission_co2e_co2_inen_nbmass_recycled_wood:emission_co2e_co2_inen_nbmass_rubber_and_leather:emission_co2e_co2_inen_nbmass_textiles:emission_co2e_co2_inen_nbmass_wood,20:inen:co2,57.59916125
inen,n2o,EN - Manufacturing/Construction:N2O,Energy,EN - Manufacturing/Construction,EN - Manufacturing/Construction,emission_co2e_n2o_inen_agriculture_and_livestock:emission_co2e_n2o_inen_cement:emission_co2e_n2o_inen_chemicals:emission_co2e_n2o_inen_electronics:emission_co2e_n2o_inen_glass:emission_co2e_n2o_inen_lime_and_carbonite:emission_co2e_n2o_inen_metals:emission_co2e_n2o_inen_mining:emission_co2e_n2o_inen_other_product_manufacturing:emission_co2e_n2o_inen_paper:emission_co2e_n2o_inen_plastic:emission_co2e_n2o_inen_recycled_glass:emission_co2e_n2o_inen_recycled_metals:emission_co2e_n2o_inen_recycled_paper:emission_co2e_n2o_inen_recycled_plastic:emission_co2e_n2o_inen_recycled_rubber_and_leather:emission_co2e_n2o_inen_recycled_textiles:emission_co2e_n2o_inen_recycled_wood:emission_co2e_n2o_inen_rubber_and_leather:emission_co2e_n2o_inen_textiles,21:inen:n2o,0.170688779
scoe,ch4,EN - Other:CH4,Energy,EN - Other,EN - Other,emission_co2e_ch4_scoe_other_se,22:scoe:ch4,0
scoe,co2,EN - Other:CO2,Energy,EN - Other,EN - Other,emission_co2e_co2_scoe_nbmass_other_se,23:scoe:co2,0
scoe,n2o,EN - Other:N2O,Energy,EN - Other,EN - Other,emission_co2e_n2o_scoe_other_se,24:scoe:n2o,0
trns,ch4,EN - Transportation:CH4,Energy,EN - Transportation,EN - Transportation,emission_co2e_ch4_trns_aviation:emission_co2e_ch4_trns_human_powered:emission_co2e_ch4_trns_powered_bikes:emission_co2e_ch4_trns_public:emission_co2e_ch4_trns_rail_freight:emission_co2e_ch4_trns_rail_passenger:emission_co2e_ch4_trns_road_heavy_freight:emission_co2e_ch4_trns_road_heavy_regional:emission_co2e_ch4_trns_road_light:emission_co2e_ch4_trns_water_borne,25:trns:ch4,0.746002839
trns,co2,EN - Transportation:CO2,Energy,EN - Transportation,EN - Transportation,emission_co2e_co2_trns_aviation:emission_co2e_co2_trns_human_powered:emission_co2e_co2_trns_powered_bikes:emission_co2e_co2_trns_public:emission_co2e_co2_trns_rail_freight:emission_co2e_co2_trns_rail_passenger:emission_co2e_co2_trns_road_heavy_freight:emission_co2e_co2_trns_road_heavy_regional:emission_co2e_co2_trns_road_light:emission_co2e_co2_trns_water_borne,26:trns:co2,144.6051099
trns,n2o,EN - Transportation:N2O,Energy,EN - Transportation,EN - Transportation,emission_co2e_n2o_trns_aviation:emission_co2e_n2o_trns_human_powered:emission_co2e_n2o_trns_powered_bikes:emission_co2e_n2o_trns_public:emission_co2e_n2o_trns_rail_freight:emission_co2e_n2o_trns_rail_passenger:emission_co2e_n2o_trns_road_heavy_freight:emission_co2e_n2o_trns_road_heavy_regional:emission_co2e_n2o_trns_road_light:emission_co2e_n2o_trns_water_borne,27:trns:n2o,1.48837706
ippu,c2f6,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_c2f6_ippu_product_use_product_use_ods_other:emission_co2e_c2f6_ippu_production_chemicals:emission_co2e_c2f6_ippu_production_electronics:emission_co2e_c2f6_ippu_production_metals,28:ippu:c2f6,0.751950825
ippu,c2h3f3,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_c2h3f3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c2h3f3_ippu_production_chemicals,29:ippu:c2h3f3,0.751950825
ippu,c2hf5,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_c2hf5_ippu_product_use_product_use_ods_other:emission_co2e_c2hf5_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c2hf5_ippu_production_chemicals,30:ippu:c2hf5,0.751950825
ippu,c3f8,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_c3f8_ippu_production_chemicals:emission_co2e_c3f8_ippu_production_electronics,31:ippu:c3f8,0.751950825
ippu,c3h2f6,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_c3h2f6_ippu_product_use_product_use_ods_other:emission_co2e_c3h2f6_ippu_product_use_product_use_ods_refrigeration,32:ippu:c3h2f6,0.751950825
ippu,c3h3f5,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_c3h3f5_ippu_product_use_product_use_ods_other:emission_co2e_c3h3f5_ippu_product_use_product_use_ods_refrigeration,33:ippu:c3h3f5,0.751950825
ippu,c3hf7,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_c3hf7_ippu_product_use_product_use_ods_other:emission_co2e_c3hf7_ippu_product_use_product_use_ods_refrigeration:emission_co2e_c3hf7_ippu_production_chemicals,34:ippu:c3hf7,0.751950825
ippu,c4f10,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_c4f10_ippu_product_use_product_use_ods_other:emission_co2e_c4f10_ippu_production_chemicals,35:ippu:c4f10,0.751950825
ippu,c4f6,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_c4f6_ippu_production_electronics,36:ippu:c4f6,0.751950825
ippu,c4h5f5,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_c4h5f5_ippu_product_use_product_use_ods_other:emission_co2e_c4h5f5_ippu_production_chemicals,37:ippu:c4h5f5,0.751950825
ippu,c5f12,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_c5f12_ippu_production_chemicals,38:ippu:c5f12,0.751950825
ippu,c5f8,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_c5f8_ippu_production_electronics,39:ippu:c5f8,0.751950825
ippu,c5h2f10,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_c5h2f10_ippu_product_use_product_use_ods_other,40:ippu:c5h2f10,0.751950825
ippu,c6f14,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_c6f14_ippu_product_use_product_use_ods_other:emission_co2e_c6f14_ippu_production_chemicals,41:ippu:c6f14,0.751950825
ippu,cc4f8,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_cc4f8_ippu_production_chemicals:emission_co2e_cc4f8_ippu_production_electronics,42:ippu:cc4f8,0.751950825
ippu,cf4,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_cf4_ippu_product_use_product_use_ods_other:emission_co2e_cf4_ippu_production_chemicals:emission_co2e_cf4_ippu_production_electronics:emission_co2e_cf4_ippu_production_metals,43:ippu:cf4,0.751950825
ippu,ch2f2,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_ch2f2_ippu_product_use_product_use_ods_refrigeration:emission_co2e_ch2f2_ippu_production_chemicals:emission_co2e_ch2f2_ippu_production_electronics,44:ippu:ch2f2,0.751950825
ippu,ch2fchf2,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_ch2fchf2_ippu_product_use_product_use_ods_other,45:ippu:ch2fchf2,0.751950825
ippu,ch3cci2f,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_ch3cci2f_ippu_product_use_product_use_ods_other,46:ippu:ch3cci2f,0.751950825
ippu,ch3ccif2,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_ch3ccif2_ippu_product_use_product_use_ods_other,47:ippu:ch3ccif2,0.751950825
ippu,ch3chf2,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_ch3chf2_ippu_product_use_product_use_ods_other:emission_co2e_ch3chf2_ippu_product_use_product_use_ods_refrigeration:emission_co2e_ch3chf2_ippu_production_chemicals,48:ippu:ch3chf2,0.751950825
ippu,ch3f,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_ch3f_ippu_production_electronics,49:ippu:ch3f,0.751950825
ippu,ch4,IN - Industrial Processes:CH4,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_ch4_ippu_production_chemicals:emission_co2e_ch4_ippu_production_metals:emission_co2e_ch4_ippu_production_paper:emission_co2e_ch4_ippu_production_plastic,50:ippu:ch4,0.090519202
ippu,chf2cf3,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_chf2cf3_ippu_product_use_product_use_ods_other:emission_co2e_chf2cf3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_chf2cf3_ippu_production_chemicals,51:ippu:chf2cf3,0.751950825
ippu,chf2chf2,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_chf2chf2_ippu_product_use_product_use_ods_other,52:ippu:chf2chf2,0.751950825
ippu,chf3,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_chf3_ippu_product_use_product_use_ods_other:emission_co2e_chf3_ippu_product_use_product_use_ods_refrigeration:emission_co2e_chf3_ippu_production_chemicals:emission_co2e_chf3_ippu_production_electronics,53:ippu:chf3,0.751950825
ippu,co2,IN - Industrial Processes:CO2,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_co2_ippu_product_use_product_use_lubricants:emission_co2e_co2_ippu_product_use_product_use_other:emission_co2e_co2_ippu_product_use_product_use_paraffin_wax:emission_co2e_co2_ippu_production_cement:emission_co2e_co2_ippu_production_chemicals:emission_co2e_co2_ippu_production_glass:emission_co2e_co2_ippu_production_lime_and_carbonite:emission_co2e_co2_ippu_production_metals:emission_co2e_co2_ippu_production_paper:emission_co2e_co2_ippu_production_plastic:emission_co2e_co2_ippu_production_product_use_lubricants:emission_co2e_co2_ippu_production_product_use_paraffin_wax,54:ippu:co2,57.58981049
ippu,hfcs,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_hfcs_ippu_product_use_product_use_ods_other:emission_co2e_hfcs_ippu_product_use_product_use_ods_refrigeration:emission_co2e_hfcs_ippu_production_chemicals:emission_co2e_hfcs_ippu_production_electronics:emission_co2e_hfcs_ippu_production_metals,55:ippu:hfcs,0.751950825
ippu,n2o,IN - Industrial Processes:N2O,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_n2o_ippu_production_chemicals:emission_co2e_n2o_ippu_production_other_product_manufacturing:emission_co2e_n2o_ippu_production_paper:emission_co2e_n2o_ippu_production_plastic,56:ippu:n2o,73.33845551
ippu,other_fcs,IN - Industrial Processes:HFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_other_fcs_ippu_product_use_product_use_ods_other:emission_co2e_other_fcs_ippu_production_chemicals:emission_co2e_other_fcs_ippu_production_electronics,57:ippu:other_fcs,0.751950825
ippu,pfcs,IN - Industrial Processes:PFC,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_pfcs_ippu_product_use_product_use_ods_other:emission_co2e_pfcs_ippu_production_chemicals:emission_co2e_pfcs_ippu_production_electronics:emission_co2e_pfcs_ippu_production_other_product_manufacturing,58:ippu:pfcs,0
ippu,sf6,IN - Industrial Processes:SF6,Industrial Processes,IN - Industrial Processes,IN - Industrial Processes,emission_co2e_sf6_ippu_production_chemicals:emission_co2e_sf6_ippu_production_electronics:emission_co2e_sf6_ippu_production_metals:emission_co2e_sf6_ippu_production_other_product_manufacturing,59:ippu:sf6,0.544237276
lndu,ch4,LULUCF - Deforestation:CH4,"Land Use, Land Use Change, and Forestry",LULUCF - Deforestation,LULUCF - Deforestation,emission_co2e_ch4_lndu_wetlands,60:lndu:ch4,0
lndu,co2,LULUCF - Deforestation:CO2,"Land Use, Land Use Change, and Forestry",LULUCF - Deforestation,LULUCF - Deforestation,emission_co2e_co2_lndu_conversion_forests_mangroves_to_croplands:emission_co2e_co2_lndu_conversion_forests_mangroves_to_flooded:emission_co2e_co2_lndu_conversion_forests_mangroves_to_forests_mangroves:emission_co2e_co2_lndu_conversion_forests_mangroves_to_forests_primary:emission_co2e_co2_lndu_conversion_forests_mangroves_to_forests_secondary:emission_co2e_co2_lndu_conversion_forests_mangroves_to_grasslands:emission_co2e_co2_lndu_conversion_forests_mangroves_to_other:emission_co2e_co2_lndu_conversion_forests_mangroves_to_pastures:emission_co2e_co2_lndu_conversion_forests_mangroves_to_settlements:emission_co2e_co2_lndu_conversion_forests_mangroves_to_shrublands:emission_co2e_co2_lndu_conversion_forests_mangroves_to_wetlands:emission_co2e_co2_lndu_conversion_forests_primary_to_croplands:emission_co2e_co2_lndu_conversion_forests_primary_to_flooded:emission_co2e_co2_lndu_conversion_forests_primary_to_forests_mangroves:emission_co2e_co2_lndu_conversion_forests_primary_to_forests_primary:emission_co2e_co2_lndu_conversion_forests_primary_to_forests_secondary:emission_co2e_co2_lndu_conversion_forests_primary_to_grasslands:emission_co2e_co2_lndu_conversion_forests_primary_to_other:emission_co2e_co2_lndu_conversion_forests_primary_to_pastures:emission_co2e_co2_lndu_conversion_forests_primary_to_settlements:emission_co2e_co2_lndu_conversion_forests_primary_to_shrublands:emission_co2e_co2_lndu_conversion_forests_primary_to_wetlands:emission_co2e_co2_lndu_conversion_forests_secondary_to_croplands:emission_co2e_co2_lndu_conversion_forests_secondary_to_flooded:emission_co2e_co2_lndu_conversion_forests_secondary_to_forests_mangroves:emission_co2e_co2_lndu_conversion_forests_secondary_to_forests_primary:emission_co2e_co2_lndu_conversion_forests_secondary_to_forests_secondary:emission_co2e_co2_lndu_conversion_forests_secondary_to_grasslands:emission_co2e_co2_lndu_conversion_forests_secondary_to_other:emission_co2e_co2_lndu_conversion_forests_secondary_to_pastures:emission_co2e_co2_lndu_conversion_forests_secondary_to_settlements:emission_co2e_co2_lndu_conversion_forests_secondary_to_shrublands:emission_co2e_co2_lndu_conversion_forests_secondary_to_wetlands,61:lndu:co2,21.674
frst,ch4,LULUCF - Forest Land:CH4,"Land Use, Land Use Change, and Forestry",LULUCF - Forest Land,LULUCF - Forest Land,emission_co2e_ch4_frst_methane_mangroves:emission_co2e_ch4_frst_methane_primary:emission_co2e_ch4_frst_methane_secondary,62:frst:ch4,0
