time_period,nemomod_entc_capital_cost_pp_biogas_mm_usd_per_gw,nemomod_entc_capital_cost_pp_biomass_mm_usd_per_gw,nemomod_entc_capital_cost_pp_coal_mm_usd_per_gw,nemomod_entc_capital_cost_pp_gas_mm_usd_per_gw,nemomod_entc_capital_cost_pp_geothermal_mm_usd_per_gw,nemomod_entc_capital_cost_pp_hydropower_mm_usd_per_gw,nemomod_entc_capital_cost_pp_nuclear_mm_usd_per_gw,nemomod_entc_capital_cost_pp_ocean_mm_usd_per_gw,nemomod_entc_capital_cost_pp_oil_mm_usd_per_gw,nemomod_entc_capital_cost_pp_solar_mm_usd_per_gw,nemomod_entc_capital_cost_pp_waste_incineration_mm_usd_per_gw,nemomod_entc_capital_cost_pp_wind_mm_usd_per_gw,nemomod_entc_capital_cost_fp_hydrogen_electrolysis_mm_usd_per_gw,nemomod_entc_capital_cost_fp_hydrogen_gasification_mm_usd_per_gw,nemomod_entc_capital_cost_fp_hydrogen_reformation_mm_usd_per_gw,nemomod_entc_capital_cost_pp_coal_ccs_mm_usd_per_gw,nemomod_entc_capital_cost_pp_gas_ccs_mm_usd_per_gw,nemomod_entc_capital_cost_fp_ammonia_production_mm_usd_per_gw,nemomod_entc_capital_cost_fp_hydrogen_reformation_ccs_mm_usd_per_gw,nemomod_entc_capital_cost_fp_natural_gas_liquefaction_mm_usd_per_gw
25,2581.866715,1873.494011,3393.583333,695.6666667,2154.502723320702,1538.9305166051608,5153.583333,30495.04196,1204.871134,461.67915499110995,3872.800073,280.483571469008,1200,800,800,6625,2845,0,1200,783.7042208
26,2581.866715,1830.703349,3393.583333,695.6666667,2105.293813195249,1503.7812955353054,5153.583333,30495.04196,1204.871134,451.13438854457706,3872.800073,282.2387313303151,1200,800,800,6625,2845,0,1200,783.7042208
27,2581.866715,1788.890026,3393.583333,695.6666667,2057.2088358048773,1469.4348829866988,5153.583333,30495.04196,1204.871134,440.83046487172976,3872.800073,283.7673962834283,1200,800,800,6625,2845,0,1200,783.7042208
28,2581.866715,1748.031722,3393.583333,695.6666667,2010.2221213144942,1435.872944195906,5153.583333,30495.04196,1204.871134,430.76188315976634,3872.800073,285.0789971257519,1200,800,800,6625,2845,0,1200,783.7042208
29,2581.866715,1708.106622,3393.583333,695.6666667,1964.3085846105691,1403.0775604264243,5153.583333,30495.04196,1204.871134,420.9232680975362,3872.800073,286.182651858152,1200,800,800,6625,2845,0,1200,783.7042208
30,2581.866715,1669.093413,3393.583333,695.6666667,1919.4437144239596,1371.031224467617,5153.583333,30495.04196,1204.871134,411.3093673609347,3872.800073,287.08717524341586,1200,800,800,6625,2845,0,1200,783.7042208
31,2581.866715,1630.971267,3393.583333,695.6666667,1875.6035595129604,1339.7168284175436,5153.583333,30495.04196,1204.871134,401.915048488697,3872.800073,287.8010879191901,1200,800,800,6625,2845,0,1200,783.7042208
32,2581.866715,1593.719831,3393.583333,695.6666667,1832.7647148463543,1309.1176533948092,5153.583333,30495.04196,1204.871134,392.73529606299206,3872.800073,288.33262506539734,1200,800,800,6625,2845,0,1200,783.7042208
33,2581.866715,1557.31922,3393.583333,695.6666667,1790.9043110202174,1279.2173650375016,5153.583333,30495.04196,1204.871134,383.765209499619,3872.800073,288.6897452336609,1200,800,800,6625,2845,0,1200,783.7042208
34,2581.866715,1521.75,3393.583333,695.6666667,1749.9999998530113,1250.0,5153.583333,30495.04196,1204.871134,375.0,3872.800073,288.88013848819594,1200,800,800,6625,2845,0,1200,783.7042208
35,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,288.91123466820676,1200,800,800,6625,2845,0,1200,783.7042208
36,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,295.54036228372416,1200,800,800,6625,2845,0,1200,783.7042208
37,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,302.16948993974347,1200,800,800,6625,2845,0,1200,783.7042208
38,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,308.7986175957628,1200,800,800,6625,2845,0,1200,783.7042208
39,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,315.4277452112802,1200,800,800,6625,2845,0,1200,783.7042208
40,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,322.0568728672995,1200,800,800,6625,2845,0,1200,783.7042208
41,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,328.68600052331885,1200,800,800,6625,2845,0,1200,783.7042208
42,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,335.31512817933816,1200,800,800,6625,2845,0,1200,783.7042208
43,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,341.9442557948555,1200,800,800,6625,2845,0,1200,783.7042208
44,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,348.57338345087487,1200,800,800,6625,2845,0,1200,783.7042208
45,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,355.2025111068942,1200,800,800,6625,2845,0,1200,783.7042208
46,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,361.8316387224116,1200,800,800,6625,2845,0,1200,783.7042208
47,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,368.4607663784309,1200,800,800,6625,2845,0,1200,783.7042208
48,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,375.0898940344502,1200,800,800,6625,2845,0,1200,783.7042208
49,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,381.7190216904695,1200,800,800,6625,2845,0,1200,783.7042208
50,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,388.3481493059869,1200,800,800,6625,2845,0,1200,783.7042208
51,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,388.3481493059869,1200,800,800,6625,2845,0,1200,783.7042208
52,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,388.3481493059869,1200,800,800,6625,2845,0,1200,783.7042208
53,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,388.3481493059869,1200,800,800,6625,2845,0,1200,783.7042208
54,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,388.3481493059869,1200,800,800,6625,2845,0,1200,783.7042208
55,2581.866715,1486.993182,3393.583333,695.6666667,1710.0299446843233,1221.4499608089,5153.583333,30495.04196,1204.871134,366.4349881889764,3872.800073,388.3481493059869,1200,800,800,6625,2845,0,1200,783.7042208
