strategy_id,time_period,nemomod_entc_discounted_capital_investment_fp_ammonia_production,nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis,nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification,nemomod_entc_discounted_capital_investment_fp_hydrogen_reformation,nemomod_entc_discounted_capital_investment_fp_hydrogen_reformation_ccs,nemomod_entc_discounted_capital_investment_fp_natural_gas_liquefaction,nemomod_entc_discounted_capital_investment_pp_biogas,nemomod_entc_discounted_capital_investment_pp_biomass,nemomod_entc_discounted_capital_investment_pp_coal,nemomod_entc_discounted_capital_investment_pp_coal_ccs,nemomod_entc_discounted_capital_investment_pp_gas,nemomod_entc_discounted_capital_investment_pp_gas_ccs,nemomod_entc_discounted_capital_investment_pp_geothermal,nemomod_entc_discounted_capital_investment_pp_hydropower,nemomod_entc_discounted_capital_investment_pp_nuclear,nemomod_entc_discounted_capital_investment_pp_ocean,nemomod_entc_discounted_capital_investment_pp_oil,nemomod_entc_discounted_capital_investment_pp_solar,nemomod_entc_discounted_capital_investment_pp_waste_incineration,nemomod_entc_discounted_capital_investment_pp_wind,nemomod_entc_discounted_operating_costs_fp_ammonia_production,nemomod_entc_discounted_operating_costs_fp_hydrogen_electrolysis,nemomod_entc_discounted_operating_costs_fp_hydrogen_gasification,nemomod_entc_discounted_operating_costs_fp_hydrogen_reformation,nemomod_entc_discounted_operating_costs_fp_hydrogen_reformation_ccs,nemomod_entc_discounted_operating_costs_fp_natural_gas_liquefaction,nemomod_entc_discounted_operating_costs_pp_biogas,nemomod_entc_discounted_operating_costs_pp_biomass,nemomod_entc_discounted_operating_costs_pp_coal,nemomod_entc_discounted_operating_costs_pp_coal_ccs,nemomod_entc_discounted_operating_costs_pp_gas,nemomod_entc_discounted_operating_costs_pp_gas_ccs,nemomod_entc_discounted_operating_costs_pp_geothermal,nemomod_entc_discounted_operating_costs_pp_hydropower,nemomod_entc_discounted_operating_costs_pp_nuclear,nemomod_entc_discounted_operating_costs_pp_ocean,nemomod_entc_discounted_operating_costs_pp_oil,nemomod_entc_discounted_operating_costs_pp_solar,nemomod_entc_discounted_operating_costs_pp_waste_incineration,nemomod_entc_discounted_operating_costs_pp_wind
0,8,0,0,0,0,0,0,0.0553244572402161,0,0,0,1968.13547330654,0,0,0,0,0,0,0,51.3702886944228,0,0,0,0,0,0,0,0.844609111641279,19.1775001873774,814.128693788202,0,3116.67367084265,0,204.836243763301,925.728105933673,223.902458827976,0,1772.6743159532,111.453737883367,0.001,287.673332343138
0,9,0,0,0,0,0,0,0.0481266124432683,0,0,0,0,0,0,0,0,0,0,837.519583549652,40.4546794417683,1081.95390043055,0,0,0,0,0,0,0.854192392580869,17.8030620313161,631.008285937834,0,2962.89615439278,0,202.012622293767,910.69299848526,222.434148248506,0,2527.21840586155,119.899179651987,0.001,352.090855952323
0,10,0,0,0,0,0,0,0.0407145837518571,0,0,0,2510.69630816523,0,0,0,5595.30869771664,0,0,68.9825262803028,27.9242179377254,107.175275974527,0,0,0,0,0,0,0.862299742644047,16.912008990252,632.97299061853,0,3389.1000984083,0,197.622223215752,890.983658063867,120.572740913239,0,2544.55952710206,118.045282651776,0.001,346.646780586435
0,11,0,0,0,0,0,0,0.0414208879309458,0,0,0,512.858758555492,0,393.137561491743,0,0,0,0,201.076886017268,34.6050529805,1081.62198071302,0,0,0,0,0,0,0.870547736543004,75.2591904257997,635.688648579133,0,3684.49158881271,0,87.1188446855624,865.812938291334,114.805833393649,0,2568.52880574495,117.868759748322,0.001,411.481511953471
0,12,0,0,0,0,0,0,0.0426850309583005,0,0,0,1132.12092441576,0,0,0,0,0,0,0,36.9449726284558,0,0,0,0,0,0,0,0.879047454740927,187.7235311137,638.699900322197,0,4103.43619984148,0,70.4771981035918,846.734846288959,114.805833393649,0,2595.10709105939,115.176633553382,0.001,392.847257768843
0,13,0,0,0,0,0,0,0.0429592418033797,0,0,0,2178.54239577755,0,1596.04556512989,0,0,0,0,97.3112204898815,37.6368835955933,723.05429857751,0,0,0,0,0,0,0.887601775567868,12.3744733265018,641.797724132351,0,4258.94368079164,0,69.7729149025576,828.092498548923,114.805833393649,0,2583.14884505171,113.847379282185,0.001,427.12181511499
0,14,0,0,0,0,0,0,0.0431914396935813,0,0,0,1624.21862749935,0,41.7937157272564,0,0,0,0,166.444683468896,38.2680629198133,149.024144903696,0,0,0,38.5376900849216,0,0,0.896202333133744,10.4233230922928,647.427758234342,0,4119.53077171938,0,69.7070709260888,809.875942641916,114.805833393649,0,2632.84135350353,113.558236655369,0.001,426.935569755067
0,15,0,0,0,0,0,0,0.0443594595102128,0,0,0,670.168875743298,0,43.8851916979544,0,0,0,0,526.14449397457,40.5575195239442,0,0,0,0,77.1437713232833,0,0,0.905035474325965,8.24315052693025,653.425213123192,0,4058.71108705631,0,69.7054783731133,792.075453438003,114.805833393649,0,2685.77683708228,118.57966349831,0.001,412.025987642049
0,16,0,0,0,0,0,0,0.0411595899531834,0,0,0,700.781734800398,0,105.296922926283,0,0,0,0,362.294115555749,41.6320122563311,104.532973160706,0,0,0,115.866879179913,0,0,0.913231436889186,7.62846962346627,659.69662767782,0,4118.07901265346,0,69.7411008235207,774.681528055523,114.805833393649,0,2729.28339710751,121.074974797507,0.001,403.716195014983
0,17,0,0,0,0,0,0,0.0421761186414401,0,0,0,1447.60317877426,0,48.2180308352131,0,0,0,0,85.9001102307369,43.8022072934328,209.549141211433,0,0,0,154.755058723065,0,0,0.921629817189874,6.96430689555285,666.353005085779,0,4173.71085310896,0,69.837343494511,757.684880304883,114.805833393649,0,2736.63255650001,119.534308583891,0.001,405.94947110879
0,18,0,0,0,0,0,0,0.0432198147291464,0,0,0,2391.17690109892,0,50.950398217738,0,0,0,0,90.0289373680333,46.0813087631242,335.749482692203,0,0,0,193.855796049236,0,0,0.930236024975528,4.38023132703945,673.422403566649,0,4305.69171506215,0,69.9963533839315,741.076436647682,114.805833393649,0,2793.52198477145,118.079569952281,0.001,408.554897583419
0,19,0,0,0,0,0,0,0.0442923355988377,0,0,0,835.737226927869,0,53.6290279362109,0,0,0,0,93.914348358159,48.4771903418114,290.751838812154,0,0,0,233.216038583501,0,0,0.93905580002233,4.23209472400168,680.901557700559,0,4453.28448117109,0,70.2128518276531,724.847330135394,114.805833393649,0,2859.53542683574,116.705055563319,0.001,411.49333496089
0,20,0,0,0,0,0,0,0.0453952937164606,0,0,0,1752.49573971957,0,56.6641147624441,0,0,0,0,98.3850475652326,50.9982924522851,2194.27068446476,0,0,0,272.882202051266,0,0,0.948095203191063,4.13543354585582,688.84465217384,0,4668.71906929414,0,70.4945804881368,708.170269411722,114.805833393649,0,2929.64375692694,115.415770578741,0.001,414.819868964364
