time_period,strategy_id,nemomod_entc_discounted_capital_investment_fp_ammonia_production,nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis,nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification,nemomod_entc_discounted_capital_investment_fp_hydrogen_reformation,nemomod_entc_discounted_capital_investment_fp_hydrogen_reformation_ccs,nemomod_entc_discounted_capital_investment_fp_natural_gas_liquefaction,nemomod_entc_discounted_capital_investment_pp_biogas,nemomod_entc_discounted_capital_investment_pp_biomass,nemomod_entc_discounted_capital_investment_pp_coal,nemomod_entc_discounted_capital_investment_pp_coal_ccs,nemomod_entc_discounted_capital_investment_pp_gas,nemomod_entc_discounted_capital_investment_pp_gas_ccs,nemomod_entc_discounted_capital_investment_pp_geothermal,nemomod_entc_discounted_capital_investment_pp_hydropower,nemomod_entc_discounted_capital_investment_pp_nuclear,nemomod_entc_discounted_capital_investment_pp_ocean,nemomod_entc_discounted_capital_investment_pp_oil,nemomod_entc_discounted_capital_investment_pp_solar,nemomod_entc_discounted_capital_investment_pp_waste_incineration,nemomod_entc_discounted_capital_investment_pp_wind
8,0,0,0,0,0,0,0,0.0553244572402161,0,0,0,0,0,0,0,0,0,0,0,51.3702886944228,0
9,0,0,0,0,0,0,0,0.0481266124432683,0,0,0,0,0,0,0,0,0,0,800.343018973278,40.4546794417683,0
10,0,0,0,0,0,0,0,0.0407145837518571,0,0,0,0,0,0,0,0,0,0,62.9726799235744,27.9242179377254,0
11,0,0,0,0,0,0,0,0.0414208879309458,0,0,0,0,0,296.00580453029,0,0,0,0,178.638397884597,34.6050529805,457.250550653905
12,0,0,0,0,0,0,0,0.0426850309583005,0,0,0,155.575140157169,0,0,0,0,0,0,0,36.9449726284558,0
13,0,0,0,0,0,0,0,0.0429592418033808,0,0,0,2162.68654344846,0,1492.99947549988,0,0,0,0,676.962734210077,37.6368835955933,385.038542399262
14,0,0,0,0,0,0,0,0.0431914396935802,0,0,0,1357.84648474731,0,21.6465459789731,0,0,0,0,0,38.2680629198133,104.177799315759
15,0,0,0,0,0,0,0,0.0443594595102128,0,0,0,382.285433559072,0,23.0721480908396,0,0,0,0,0,40.5575195239442,184.293111053716
16,0,0,0,0,0,0,0,0.0411595899531834,0,0,0,402.889145043126,0,77.6465232914574,0,0,0,0,0,41.6320122563311,190.734659282354
17,0,0,0,0,0,0,0,0.0421761186414401,0,0,0,1138.38784621711,0,25.0440712399801,0,0,0,0,0,43.8022072934328,138.711676476714
18,0,0,0,0,0,0,0,0.0432198147291464,0,0,0,2069.15807779669,0,26.3499492005202,0,0,0,0,0,46.0813087631242,242.102018604191
19,0,0,0,0,0,0,0,0.0442923355988377,0,0,0,500.88314024997,0,27.4399787804192,0,0,0,0,124.582970701702,48.4771903418114,139.16172805779
20,0,0,0,0,0,0,0,0.0453952937164606,0,0,0,1410.59678851023,0,28.7313884939388,0,0,0,0,625.586594364317,50.9982924522851,3444.14721412886
21,0,0,0,0,0,0,0,0.042285230382967,0,0,0,539.315032917317,0,29.8017431018469,0,0,0,0,0,52.6530165577576,187.198880911256
22,0,0,0,0,0,0,0,0.859081396278734,0,0,0,651.477330135474,0,31.3002549633181,0,0,0,0,264.682890809202,55.4481614998482,25.5819302218495
23,0,0,0,0,0,0,0,0.881211622885984,0,0,0,761.451984585062,0,32.8372856582999,0,0,0,2.01051445431741,24.8103160392788,58.3974213528807,197.818965814211
24,0,0,0,0,0,0,0,0.891174552527005,0,0,0,1245.03673170252,0,34.289547952156,0,0,0,229.236182556562,0,61.3265466984793,177.013206210934
25,0,0,0,0,0,0,0,0.84707020829003,0,3230.58385957875,0,19438.3193882346,0,35.5342785873306,0,0,0,780.706821512646,0,64.0500737997998,1488.05473072234
26,0,0,0,0,0,0,0,0.871164884566089,0,247.81928561577,0,954.160770478612,0,35.6461475895336,0,0,0,2983.06802980288,161.840612062602,64.5025442143604,366.765441124503
27,0,0,0,0,0,0,0,0.102420482384551,0,255.195087086434,0,1325.42967505888,0,35.8686867473833,0,0,0,0,248.466249156915,492.447197109509,263.95367841497
28,0,0,0,0,0,0,0,0.0981358947539253,0,260.682037105709,0,808.63744471546,0,35.8030429893348,0,0,0,0,207.00816148365,507.515147772553,307.216300995521
29,0,0,0,0,0,0,0,0.434647471756421,0,9375.13669755575,0,791.338763225534,0,72.3022921858405,0,0,0,46.7953439966664,602.17562941339,504.349066675956,177.957678593687
30,0,0,0,0,0,0,0,0.0865001414072073,0,291.117071593315,0,3686.09866966837,0,112.066357239905,0,6778.71845984364,0,1026.49955857117,2049.79624172262,416.011574465329,392.345343131896
31,0,0,0,0,0,0,0,0.0610615830548611,0,295.708934979124,0,848.596123191084,0,37.8939852207668,0,0,0,959.849016962744,275.971055106654,544.15867403388,474.688888578314
32,0,0,0,0,0,0,0,0,0,305.466736304688,0,864.831541800589,0,37.7423260650889,0,0,0,1601.07677665653,1037.97797851017,127.700095158644,137.350114263691
33,0,0,0,0,0,0,0,0,0,315.776678108849,0,885.293379841331,0,37.7568043306312,0,0,0,260.885375117338,215.998882997141,121.755529162019,438.458980955655
34,0,0,0,0,0,0,0,0,0,50.4426177943472,0,920.924716487737,0,44.1949852473854,0,0,0,1463.09496817001,602.807481357503,112.26730705994,259.316751329809
35,0,0,0,0,0,0,0,0,0,0,0,952.710221550194,0,40.0791922975042,0,0,0,277.353538494936,296.772812922514,101.368801915676,339.9132183667
36,0,0,0,0,0,0,0,0.0715275438989346,0,0,0,1135.2883853708,0,47.7153413714462,0,0,0,330.69387048418,329.14999761101,107.015248040052,416.19833039634
37,0,0,0,0,0,0,0,0.0727108729909397,0,371.477021075769,0,1292.92683906857,0,49.5589361015234,0,0,0,1118.27725783877,1306.96021638733,110.505589328674,328.909217750177
38,0,0,0,0,0,0,0,0.0737051860509215,0,373.587406229776,0,3306.50306273481,0,49.8406126966379,0,0,0,336.909008508957,222.239319158393,111.822995596424,431.356335867398
39,0,0,0,0,0,0,0,0.0747376786074757,0,375.716667540813,0,2508.18540580288,0,50.1248194782308,0,0,0,338.829221312138,662.423786825651,113.089583860527,340.82438324856
40,0,0,0,0,0,0,0,0.0756063454276663,0,375.351835284557,0,1531.51037635409,0,50.076295622933,0,0,0,1072.81718227431,258.63060996712,115.518921871948,3725.28601107318
41,0,0,0,0,0,0,0,0.0722948040783277,0,375.256612283458,0,1551.82531499741,0,220.074438775953,0,0,0,338.414333761901,325.832324385011,116.790040426925,399.930417955524
42,0,0,0,0,0,0,0,0.889032534024361,0,376.82514933897,0,2292.12897309938,0,50.2731747215432,0,0,0,339.828873579467,224.164377637197,119.495904623456,227.981337582315
43,0,0,0,0,0,0,0,0.911125538873772,0,378.573386843591,0,3228.25417092122,0,948.56445741783,0,0,0,341.40547107741,632.405723657197,122.352006036924,429.447247739984
44,0,0,0,0,0,0,0,0.921182464512289,0,381.903396670899,0,1670.17698901884,0,64.2760420627724,0,0,0,344.408544210457,227.184922094041,125.651771636665,415.478238742052
45,0,0,0,0,0,0,0,0.877302551618808,0,386.843364549782,0,2595.01752149574,0,67.8420087045233,0,0,0,348.863511538006,230.123412478561,129.413060119071,2087.32453198149
8,6003,0,0,0,0,0,0,0.0553244572402161,0,0,0,0,0,0,0,0,0,0,0,51.3702886944228,0
9,6003,0,0,0,0,0,0,0.0481266124432683,0,0,0,0,0,0,0,0,0,0,800.343018973284,40.4546794417684,0
10,6003,0,0,0,0,0,0,0.0407145837518571,0,0,0,0,0,0,0,0,0,0,62.9726799235732,27.9242179377258,0
11,6003,0,0,0,0,0,0,3.67850287041128,0,0,0,0,0,260.67209036166,0,0,0,0,18.2162957503554,0,317.673668755064
12,6003,0,0,0,0,0,0,3.78728473620284,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6003,0,0,0,0,0,0,3.89474615269727,0,0,0,1499.81180941659,0,1476.14978810032,0,0,0,0,213.365601748671,0,519.449518047939
14,6003,0,0,0,0,0,0,4.0358133656175,0,0,0,1091.15152008962,0,5.17039123902257,0,0,0,0,0,0,8.49523399136541
15,6003,0,0,0,0,0,0,4.21061294975918,0,0,0,114.517505888379,0,6.90762021295452,0,0,0,0,0,0,90.5940481688931
16,6003,0,0,0,0,0,0,4.41401013312043,0,0,0,133.734627120852,0,61.7692134031198,0,0,0,0,0,0,98.8847560805204
17,6003,0,0,0,0,0,0,4.66409552881392,0,0,0,867.161879186028,0,9.41001014399066,0,0,0,0,0,0,48.4838079244068
18,6003,0,0,0,0,0,0,4.95638702190045,0,0,0,1795.44954883417,0,10.9331717390592,0,0,0,0,0,0,153.393035804001
19,6003,0,0,0,0,0,0,5.29169770768589,0,0,0,223.695278610559,0,12.2509956006032,0,0,0,0,55.6219608692168,0,85.0633829444563
20,6003,0,0,0,0,0,0,5.6695425680616,0,0,0,1132.48959331488,0,13.7057428110456,0,0,0,0,695.93333692785,0,3324.46731422907
21,6003,0,0,0,0,0,0,6.07333455595509,0,0,0,283.564690307447,0,14.8947909768438,0,0,0,0,0,0,58.5496115201032
22,6003,0,0,0,0,0,0,7.33954193133419,0,0,0,320.841953773992,0,16.4683650685483,0,0,0,0,0,0,67.4534255519073
23,6003,0,0,0,0,0,0,7.84371725729781,0,0,0,359.795532259722,0,18.0463699319048,0,0,0,0,0,0,135.40534100926
24,6003,0,0,0,0,0,0,8.36370103161138,0,0,0,938.255797005412,0,19.5190994735896,0,0,0,0,0,0,94.8455813154316
25,6003,0,0,0,0,0,0,8.85224914261555,0,1869.85191944351,0,19529.9643695048,0,20.7806786378152,0,0,0,0,0,0,86.119599503396
