time_period,strategy_id,nemomod_entc_discounted_capital_investment_fp_ammonia_production,nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis,nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification,nemomod_entc_discounted_capital_investment_fp_hydrogen_reformation,nemomod_entc_discounted_capital_investment_fp_hydrogen_reformation_ccs,nemomod_entc_discounted_capital_investment_fp_natural_gas_liquefaction,nemomod_entc_discounted_capital_investment_pp_biogas,nemomod_entc_discounted_capital_investment_pp_biomass,nemomod_entc_discounted_capital_investment_pp_coal,nemomod_entc_discounted_capital_investment_pp_coal_ccs,nemomod_entc_discounted_capital_investment_pp_gas,nemomod_entc_discounted_capital_investment_pp_gas_ccs,nemomod_entc_discounted_capital_investment_pp_geothermal,nemomod_entc_discounted_capital_investment_pp_hydropower,nemomod_entc_discounted_capital_investment_pp_nuclear,nemomod_entc_discounted_capital_investment_pp_ocean,nemomod_entc_discounted_capital_investment_pp_oil,nemomod_entc_discounted_capital_investment_pp_solar,nemomod_entc_discounted_capital_investment_pp_waste_incineration,nemomod_entc_discounted_capital_investment_pp_wind
26,6003,0,0,0,0,0,0,9.40272152294499,0,145.974590459043,0,1594.36505584249,0,20.9968799760506,0,0,0,1764.63351554769,7.55550796981148,0,0
27,6003,0,0,0,0,0,0,9.17923109954852,0,151.737848982662,0,862.54436311283,0,21.3273595311705,0,0,0,659.371638156453,102.100495552917,0,0
28,6003,0,0,0,0,0,0,9.72185919869548,0,155.823110549098,0,221.422915023826,0,21.4013270253022,0,0,0,727.995822474096,141.62150165973,383.445922574691,0
29,6003,0,0,0,0,0,0,10.2591196325872,0,8433.24675210969,0,225.732850559142,0,21.5101580806696,0,0,0,1003.40133486746,472.02985509974,396.089506849138,0
30,6003,0,0,0,0,0,0,10.790004408461,0,165.126604055649,0,3081.13545888299,0,21.6549515730688,0,6778.71845984364,0,1892.70542915924,1843.99609662515,303.989428729296,113.502000377184
31,6003,0,0,0,0,0,0,14.9154490320393,0,168.111521153466,0,233.051534005503,0,21.5428576700929,0,0,0,677.389270868042,198.891517083949,428.925635823789,645.046948021117
32,6003,0,0,0,0,0,0,15.5192143269541,0,172.128173016973,0,490.081960245886,0,21.5537807193636,0,0,0,1283.62213779944,961.611659829977,8.74384671458527,212.567322110709
33,6003,0,0,0,0,0,0,16.107307424219,0,177.34095840393,0,548.601446166712,0,21.6993247300858,0,0,0,0,140.229344646308,0,552.118447683804
34,6003,0,0,0,0,0,0,16.7155071975055,0,184.134380556595,0,569.683799743707,0,22.0159646788313,0,0,0,1072.03878470087,448.109095403757,0,212.294622624576
35,6003,0,0,0,0,0,0,17.3448267216704,0,191.882362878659,0,593.727828319313,0,22.4183455668255,0,0,0,0,122.329776579718,0,224.186906364987
36,6003,0,0,0,0,0,0,17.8470421598523,0,221.530910040961,0,686.133610352734,0,25.8822979898998,0,0,0,0,117.510789579981,0,267.651998474992
37,6003,0,0,0,0,0,0,18.4553754376996,0,222.163010440627,0,688.082126660547,0,25.9561486814381,0,0,0,615.785617786481,1203.82208731856,0,303.062890278214
38,6003,0,0,0,0,0,0,19.0970075497004,0,220.51064262609,0,2182.7531214048,0,25.7630962710236,0,0,0,0,116.969590026915,0,319.169791555326
39,6003,0,0,0,0,0,0,19.7761794051225,0,218.861912953422,0,1768.96379582961,0,25.5704689185478,0,0,0,0,555.013131281406,0,254.144632918571
40,6003,0,0,0,0,0,0,20.49239709918,0,215.14723148629,0,780.790005182671,0,127.787337791148,0,0,0,638.400157038066,195.720158726511,0,3571.31577319266
41,6003,0,0,0,0,0,0,21.2322133942717,0,211.681025964528,0,789.239128883209,0,176.898783049525,0,0,0,0,338.236505851361,0,217.799858423163
42,6003,0,0,0,0,0,0,22.8357361374869,0,209.589039614829,0,1516.16346806114,0,26.6953821239952,0,0,0,0,348.168163016094,0,236.321686958083
43,6003,0,0,0,0,0,0,23.6799062578471,0,1049.90517997728,0,2438.38313386217,0,919.547657612467,0,0,0,164.63303171508,0,0,66.7037878697767
44,6003,0,0,0,0,0,0,24.545590845254,0,281.304186943933,0,864.468026344812,0,32.2138427468379,0,0,0,186.626547776757,104.099746879703,0,156.782621638235
45,6003,0,0,0,0,0,0,25.3879654240527,0,36.59928191031,0,1774.96928622396,0,32.6753017809336,0,0,0,187.125611281877,178.859277983206,0,192.810789650022
8,6004,0,0,0,0,0,0,0.090939510815845,0,0,0,0,0,0,0,0,0,0,0,51.9025582371647,0
9,6004,0,0,0,0,0,0,0.0845002757389882,0,0,0,0,0,0,0,0,0,0,889.420011677639,40.998840845541,0
10,6004,0,0,0,0,0,0,0.0775639096086892,0,0,0,0,0,0,0,0,0,0,106.133972174617,28.4763623166529,0
11,6004,0,0,0,0,0,0,15.6568535739132,0,0,0,0,1647.60486291287,86.2031831761727,0,0,0,0,1065.51751579883,0,1247.32295028319
12,6004,0,0,0,0,0,0,17.5123757225933,0,0,0,0,1664.99459632789,621.058809626389,0,0,0,0,0,0,365.951585072351
13,6004,0,0,0,0,0,0,21.8414179078833,0,0,0,0,1683.97551860414,1686.28066700761,0,0,0,0,3005.4560219121,0,0
14,6004,0,0,0,0,0,0,29.8734150645483,0,0,0,0,1707.72531768967,212.905995156076,0,0,0,0,0,0,817.85430937059
15,6004,0,0,0,0,0,0,33.634040325944,0,0,0,0,1738.77860684097,213.713062198232,0,0,0,0,0,0,897.769367674714
16,6004,0,0,0,0,0,0,37.587430071391,0,0,0,0,1768.56962494313,266.880357659986,0,0,0,0,0,0,899.599770949032
17,6004,0,0,0,0,0,0,41.795041937759,0,0,0,0,1805.01415740503,213.544403219374,0,0,0,0,0,0,845.379333831382
18,6004,0,0,0,0,0,0,46.1962812163736,0,0,0,0,1844.06413732001,214.044109531287,0,0,0,0,1882.59883548029,0,43.376413699442
19,6004,0,0,0,0,0,0,50.7723483082955,0,0,0,0,1885.44765891276,214.520393611177,0,0,0,0,0,0,900.016693014093
20,6004,0,0,0,0,0,0,55.5104091210068,0,0,0,0,1930.87680280592,215.360068689109,0,0,0,0,3195.0361860313,0,2885.85310810514
21,6004,0,0,0,0,0,0,60.2609732430662,0,0,0,0,1976.69011168073,215.834522671611,0,0,0,0,0,0,839.351814610538
22,6004,0,0,0,0,0,0,66.0700450063645,0,0,0,0,2029.29211757528,217.152125660072,0,0,0,0,0,0,845.801542717124
23,6004,0,0,0,0,0,0,62.8054331584532,0,0,0,0,2086.82547131346,218.855618794632,0,0,0,0,0,0,912.764581577236
24,6004,0,0,0,0,0,0,66.5089777888761,0,0,0,0,2145.39000567647,220.287202666121,0,0,0,0,0,0,870.273190325905
25,6004,0,0,0,0,0,0,70.1837618307176,0,0,0,11582.7995206565,2203.38992763946,221.271823971011,0,0,0,0,0,0,2243.67783753159
26,6004,0,0,0,0,0,0,73.5391448727484,0,0,0,0,2244.5569554013,219.605468207255,0,0,0,0,0,0,0
27,6004,0,0,0,0,0,0,76.2424177400047,0,0,0,0,2284.86143310604,217.834976698378,0,0,0,0,636.654184404562,0,144.543706689238
28,6004,0,0,0,0,0,0,79.6487124558839,0,0,0,0,2318.33566332541,215.197876593728,0,0,0,0,587.254563969671,77.8678672612552,1.47847012077355
29,6004,0,0,0,0,0,0,82.9901407116638,0,3570.89502475661,0,0,2354.93354317697,213.033505574291,0,0,0,0,910.561734216306,391.457583756501,474.024698797481
30,6004,0,0,0,0,0,0,86.3079329370589,0,0,0,0,2382.64860074139,209.846384219375,0,6874.91106856765,0,0,2272.28816827205,300.922798347149,1950.01171842301
31,6004,0,0,0,0,0,0,104.774662303727,0,0,0,0,2400.53168377225,205.652032288468,0,0,0,0,615.256927813298,427.723366792131,689.944084154673
32,6004,0,0,0,0,0,0,109.743184977073,0,0,0,0,2415.9379549989,201.377345558187,0,0,0,0,1365.47058830983,9.11064450492032,529.856655276677
33,6004,0,0,0,0,0,0,117.206066831857,0,0,0,0,2430.62501976613,197.213357568443,0,0,0,0,531.494524048148,1.33048614365477,571.99360430533
34,6004,0,0,0,0,0,0,128.436935907843,0,0,0,0,2452.07698534224,193.33330625878,0,0,0,0,827.0059768578,0,1377.81653639086
35,6004,0,0,0,0,0,0,135.44617429215,0,0,0,0,2455.72650092835,189.504537570682,0,0,0,0,537.607945487756,0,1574.22921632457
36,6004,0,0,0,0,0,0,139.339839590385,0,0,0,0,4430.99056490873,194.586005775115,0,0,0,0,432.914325117316,0,1821.04656864497
37,6004,0,0,0,0,0,0,146.271046969058,0,0,0,0,4406.87463421581,191.803689839294,0,0,0,0,1588.87129749067,0,2702.52474679044
38,6004,0,0,0,0,0,0,153.221977816608,0,0,0,0,4743.70652777951,269.987658816633,0,0,0,0,427.745038148604,0,6581.90714996105
39,6004,0,0,0,0,0,0,160.33129224112,0,0,0,0,3292.80360978827,100.272132664798,0,0,0,0,1545.41880422534,0,0
40,6004,0,0,0,0,0,0,306.521096409123,0,0,0,0,8645.79841252294,579.53476184465,0,0,0,0,0,0,0
41,6004,0,0,0,0,0,0,182.092044121971,0,0,0,0,3000.52537784438,228.368384452535,0,0,0,0,1260.96646914268,0,0
42,6004,0,0,0,0,0,0,190.493867460501,0,0,0,0,2858.62933928037,678.474945416164,0,0,0,0,631.626518625167,0,0
43,6004,0,0,0,0,0,0,215.583470223568,0,0,0,0,2626.30723094818,1721.68104446872,0,0,0,0,2489.67749232253,0,0
44,6004,0,0,0,0,0,0,0,0,0,0,0,3583.5861750349,680.922755874634,0,0,0,0,1411.42650140202,0,0
45,6004,0,0,0,0,0,0,194.646250321099,0,0,0,0,43588.3544090201,2470.27057685365,0,0,0,0,8711.62269634216,0,0
8,6005,0,0,0,0,0,0,0.090939510815845,0,0,0,0,0,0,0,0,0,0,0,51.9025582371647,0
9,6005,0,0,0,0,0,0,0.0845002757389882,0,0,0,0,0,0,0,0,0,0,889.420011677639,40.998840845541,0
10,6005,0,0,0,0,0,0,0.0775639096086892,0,0,0,0,0,0,0,0,0,0,106.13397217461,28.4763623166529,0
11,6005,0,0,0,0,0,0,15.6568535739132,0,0,0,0,0,610.822707058526,0,0,0,0,3203.47342141832,0,905.847170116153
12,6005,0,0,0,0,0,0,17.5123757225933,0,0,0,0,0,1138.75911267919,0,0,0,0,0,0,1039.94317890933
13,6005,0,0,0,0,0,0,21.8414179078833,0,0,0,0,0,2197.56040918311,0,0,0,0,4393.544199537,0,0
14,6005,0,0,0,0,0,0,29.8734150645483,0,0,0,0,0,719.173503863316,0,0,0,0,2412.55307528945,0,319.967642109177
15,6005,0,0,0,0,0,0,33.634040325944,0,0,0,0,0,717.014255688614,0,0,0,0,0,0,1552.068094402
16,6005,0,0,0,0,0,0,37.587430071391,0,0,0,0,0,766.689868316255,0,0,0,0,0,0,1548.99972264141
17,6005,0,0,0,0,0,0,41.795041937759,0,0,0,0,0,711.558895482302,0,0,0,0,1144.13858879257,0,943.66496590582
18,6005,0,0,0,0,0,0,46.1962812163736,0,0,0,0,0,710.742697964594,0,0,0,0,1615.26814069186,0,816.095694637629
19,6005,0,0,0,0,0,0,50.7723483082955,0,0,0,0,0,710.267557517665,0,0,0,0,1473.25156439103,0,887.994059349673
20,6005,0,0,0,0,0,0,55.5104091210068,0,0,0,0,0,710.930593788052,0,0,0,0,1546.7340620303,0,4507.63063588842
21,6005,0,0,0,0,0,0,60.2609732430662,0,0,0,0,0,711.020071018295,0,0,0,0,1547.8413685091,0,926.081410957332
22,6005,0,0,0,0,0,0,66.0700450063645,0,0,0,0,0,713.323285183121,0,0,0,0,1554.32298669736,0,991.676606397225
23,6005,0,0,0,0,0,0,62.8054331584532,0,0,0,0,0,716.829842511846,0,0,0,0,1568.88089411761,0,1362.28340873757
24,6005,0,0,0,0,0,0,66.5089777888761,0,0,0,0,0,1569.15874994065,0,0,0,0,2318.85053983969,0,862.504482265857
25,6005,0,0,0,0,0,0,226.495291891766,0,0,0,11541.7981890698,0,846.02087405781,0,0,0,0,2519.96282874627,0,4604.61877997251
26,6005,0,0,0,0,0,0,0,0,0,0,0,0,513.55031244044,0,0,0,0,0,0,1811.73912448072
27,6005,0,0,0,0,0,0,48.5529239241112,0,0,0,0,0,767.57035204471,0,0,0,0,1892.87269139059,0,410.937505956232
28,6005,0,0,0,0,0,0,123.217426956081,0,0,0,0,0,315.616672306495,0,0,0,0,2313.07623510385,77.8678672612552,0
29,6005,0,0,0,0,0,0,212.501638831466,0,3547.67077800045,0,0,0,1860.52651555419,0,0,0,0,1752.63777384905,489.594258437715,318.8068624763
30,6005,0,0,0,0,0,0,106.20724886647,0,0,0,0,0,1763.9944880238,0,7464.32131351111,0,0,3400.14925571374,297.83017737022,2417.18851430931
31,6005,0,0,0,0,0,0,84.1722472068843,0,0,0,0,0,1215.62511297847,0,187.565651997909,0,0,1910.38038698901,343.120443736422,502.225330939539
32,6005,0,0,0,0,0,0,172.195281147215,0,0,0,0,0,815.73391226177,0,809.542041958853,0,0,2799.53390435087,0,1332.33848776351
33,6005,0,0,0,0,0,0,139.21329350662,0,0,0,0,0,907.829446677413,0,0,0,0,2440.1136558172,0,87.6132377712518
34,6005,0,0,0,0,0,0,151.182363794757,0,0,0,0,0,1201.49518441572,0,0,0,0,2679.9683820217,0,979.35289249474
35,6005,0,0,0,0,0,0,158.941282130506,0,0,0,0,0,1303.62429058363,0,0,0,0,2302.08041747593,0,2576.30684241737
36,6005,0,0,0,0,0,0,208.560928304645,0,0,0,0,0,1174.05118343544,0,167.724013886011,0,0,2233.93333535764,0,3115.65473645171
37,6005,0,0,0,0,0,0,304.974924613851,0,0,0,0,0,964.861026020882,0,189.418823667352,0,0,3310.42097926794,0,3042.94605947515
38,6005,0,0,0,0,0,0,188.897210016686,0,0,0,0,0,827.314810227433,0,347.976246402293,0,0,3412.99201087117,0,9588.96032118744
39,6005,0,0,0,0,0,0,196.850940218729,0,0,0,0,0,809.760374553618,0,0,0,0,4480.71509546258,0,0
40,6005,0,0,0,0,0,0,204.703840748181,0,0,0,0,0,778.450605496056,0,0,0,0,4016.93274988597,0,3678.72296837985
41,6005,0,0,0,0,0,0,212.549811841696,0,0,0,0,0,1100.81146769486,0,0,0,0,5775.30880126794,0,6.9698943224799
42,6005,0,0,0,0,0,0,221.599823074035,0,0,0,0,0,1390.08679981797,0,0,0,0,3862.70948044329,0,79.1804579554989
43,6005,0,0,0,0,0,0,221.593866637921,0,0,0,0,0,2010.84890582209,0,0,0,0,6418.88315942119,0,516.426719873371
44,6005,0,0,0,0,0,0,0,0,0,0,0,0,1098.62866382527,0,0,0,0,5447.60651884287,0,0
45,6005,0,0,0,0,0,0,0,0,0,0,0,0,5885.50592519745,0,0,0,0,2557.46931868786,0,0
8,6006,0,0,0,0,0,0,0.0553244572402161,0,0,0,0,0,0,0,0,0,0,0,51.3702886944228,0
9,6006,0,0,0,0,0,0,0.0481266124432683,0,0,0,0,0,0,0,0,0,0,800.343032888053,40.4546794417684,0
10,6006,0,0,0,0,0,0,0.0407145837518571,0,0,0,0,0,0,0,0,0,0,62.9726909485287,27.9242179377258,0
11,6006,0,0,0,0,0,0,20.0312098767358,0,0,0,0,0,274.926843951456,0,0,0,0,82.9356768672633,0,359.98953845283
12,6006,0,0,0,0,0,0,22.0500808841166,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6006,0,0,0,0,0,0,24.421406944735,0,0,0,1822.32536311913,0,1482.68551947107,0,0,0,0,382.971395986994,0,475.656012237544
14,6006,0,0,0,0,0,0,27.0978356715002,0,0,0,1191.42603262787,0,11.363185360817,0,0,0,0,0,0,46.1092096425808
15,6006,0,0,0,0,0,0,30.065703886083,0,0,0,219.811438493163,0,13.2635330289352,0,0,0,0,0,0,130.521521886171
16,6006,0,0,0,0,0,0,33.198146889269,0,0,0,233.664209830207,0,67.6649883449145,0,0,0,0,0,0,137.726471397108
17,6006,0,0,0,0,0,0,36.5470582366565,0,0,0,962.687504204249,0,14.9185389184349,0,0,0,0,0,0,86.3009207160891
18,6006,0,0,0,0,0,0,40.052673420966,0,0,0,1881.84310749665,0,15.8026928733639,0,0,0,0,0,0,188.724366937101
19,6006,0,0,0,0,0,0,43.6942486075139,0,0,0,300.85682081125,0,16.4835133553694,0,0,0,0,74.8384347468399,0,108.508805253151
20,6006,0,0,0,0,0,0,47.4565672647856,0,0,0,1200.30426430293,0,17.2228229216544,0,0,0,0,834.889296907286,0,3287.28516246149
21,6006,0,0,0,0,0,0,51.218496890079,0,0,0,336.006732085843,0,17.6567946322989,0,0,0,0,0,0,84.4046924804922
22,6006,0,0,0,0,0,0,55.9718418557067,0,0,0,358.232189811029,0,18.3951298573957,0,0,0,0,0,0,89.2151817452032
23,6006,0,0,0,0,0,0,60.0274902085344,0,0,0,380.447959040756,0,19.0899555916914,0,0,0,0,0,0,152.732394881118
24,6006,0,0,0,0,0,0,64.1472899768671,0,0,0,940.337927393576,0,19.6289449766141,0,0,0,0,0,0,107.403862647687
25,6006,0,0,0,0,0,0,68.2591947190058,0,2209.43978082611,0,19805.7962947761,0,19.9046407767903,0,0,0,0,0,0,93.5864326342004
26,6006,0,0,0,0,0,0,72.1286237848931,0,132.888389303073,0,1327.86818356351,0,19.1145702250843,0,0,0,2059.07960443878,3.33987999187299,0,0
27,6006,0,0,0,0,0,0,75.3191419701199,0,130.654280192661,0,1026.83003774405,0,18.3639798945179,0,0,0,117.826787688942,86.3472967209053,0,0
28,6006,0,0,0,0,0,0,79.198350752512,0,126.507849822118,0,441.538974625944,0,17.3750598083335,0,0,0,114.087449259179,38.4685864961432,69.6540474808132,0
29,6006,0,0,0,0,0,0,83.0647775845925,0,8396.95037992747,0,353.350088939089,0,16.6389383496326,0,0,0,361.475417889063,449.913546998981,392.530991285735,0
30,6006,0,0,0,0,0,0,86.9254090806126,0,119.179387909105,0,3263.03770757509,0,15.6293644409342,0,6778.71849221075,0,1285.96424802722,1816.63873059907,301.928091390058,0
31,6006,0,0,0,0,0,0,110.416569129083,0,112.261907600737,0,222.670066455048,0,14.3859402414664,0,0,0,1173.09550117576,166.397686038773,428.668056435582,139.827287552139
32,6006,0,0,0,0,0,0,116.125903308615,0,105.627333299223,0,212.393350446411,0,13.2265877223839,0,0,0,1507.85580012871,923.80454454254,9.98764010180792,0
