mex_sector,mex_subsector,ID,year,Gas,value
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCH4,1990,CH4,837890.58
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCO2,1990,CO2,267366347.20
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleN2O,1990,N2O,2873055.95
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCO2,1990,CO2,10431696.35
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCH4,1990,CH4,12824370.25
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesN2O,1990,N2O,6784.64
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCO2,1991,CO2,276752006.90
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCH4,1991,CH4,877493.04
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleN2O,1991,N2O,3001985.51
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCO2,1991,CO2,10879111.33
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCH4,1991,CH4,13033321.05
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesN2O,1991,N2O,9404.78
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCO2,1992,CO2,278940848.30
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCH4,1992,CH4,887566.25
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleN2O,1992,N2O,3029923.28
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCO2,1992,CO2,10849122.18
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCH4,1992,CH4,12927192.55
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesN2O,1992,N2O,9572.61
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCO2,1993,CO2,278661701.70
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCH4,1993,CH4,868630.94
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleN2O,1993,N2O,3083582.87
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCO2,1993,CO2,12161901.65
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCH4,1993,CH4,13918274.35
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesN2O,1993,N2O,11824.68
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCO2,1994,CO2,298709047.50
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCH4,1994,CH4,878095.94
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleN2O,1994,N2O,3200830.10
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCO2,1994,CO2,12245879.14
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCH4,1994,CH4,13882145.87
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesN2O,1994,N2O,11563.09
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCO2,1995,CO2,284972649.40
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCH4,1995,CH4,872511.01
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleN2O,1995,N2O,3077461.79
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCO2,1995,CO2,13581385.44
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCH4,1995,CH4,15500067.42
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesN2O,1995,N2O,16231.72
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCO2,1996,CO2,293922686.70
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCH4,1996,CH4,883361.95
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleN2O,1996,N2O,3126123.15
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCO2,1996,CO2,18460128.60
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCH4,1996,CH4,21307233.55
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesN2O,1996,N2O,29356.38
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCO2,1997,CO2,308046790.70
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCH4,1997,CH4,912606.62
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleN2O,1997,N2O,3260275.97
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCO2,1997,CO2,22732105.71
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCH4,1997,CH4,26055711.47
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesN2O,1997,N2O,41648.33
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCO2,1998,CO2,327501787.00
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCH4,1998,CH4,942628.83
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleN2O,1998,N2O,3323479.99
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCO2,1998,CO2,24352140.40
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCH4,1998,CH4,27904009.07
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesN2O,1998,N2O,45486.26
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCO2,1999,CO2,325996058.30
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCH4,1999,CH4,953402.17
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleN2O,1999,N2O,3268917.53
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCO2,1999,CO2,19668294.99
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCH4,1999,CH4,23976574.76
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesN2O,1999,N2O,33186.12
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCO2,2000,CO2,340131767.80
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCH4,2000,CH4,982400.04
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleN2O,2000,N2O,3384817.04
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCO2,2000,CO2,19496806.70
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCH4,2000,CH4,25073417.25
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesN2O,2000,N2O,32169.37
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCO2,2001,CO2,341207024.70
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleCH4,2001,CH4,944888.31
[1] Energía,[1A] Actividades de quema del combustible,[1A] Actividades de quema del combustibleN2O,2001,N2O,3336860.43
[1] Energía,[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,[1B] Emisiones fugitivas provenientes de la fabricación de combustiblesCO2,2001,CO2,17355321.04
