mex_sector,mex_subsector,ID,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Code
[1] Energía,[1A1a] Actividad principal producción de electricidad y calor,[1A1a] Actividad principal producción de electricidad y calor:CH4,CH4,0.06274518207,0.0641839081513592,0.0627253162015913,0.0634212818782641,0.0758042443581066,0.0679672301030063,0.0850186322418608,0.0946471551461102,0.106561621901429,0.119226976977842,0.128523424031149,0.131353822240077,0.123184084486161,0.121096338325082,0.124637146954022,0.122660568047536,0.107842657100183,0.116919504005561,0.11119606343136,0.115319216914949,0.112607621694341,0.122235567574392,0.140764416003059,0.134842291969002,0.13255305447383,0.132351241565533,0.153671900709522,0.143806838140444,0.138100722171588,0.157235787293165,0.12563139496435,0.124639680729462,0.124880583858192,0.105479954,MEX
[1] Energía,[1A1a] Actividad principal producción de electricidad y calor,[1A1a] Actividad principal producción de electricidad y calor:CO2,CO2,70.30275058,72.6500412172794,71.1708991226583,73.0450975634335,87.7888137157253,81.7337873620346,86.8675619646946,96.4409470465264,105.871443891513,106.336324065769,121.025221720945,125.17929967695,124.349315904433,128.076978260235,125.71557598554,133.905542946334,124.905797407518,128.475338972403,121.572397148579,134.140615866216,133.317519230992,146.39769143912,153.415318653289,149.532616718952,143.414329124584,145.429650796019,171.549436172802,164.315188775368,167.973687354798,170.956119944837,147.50115202407,141.212165209267,136.00274702728,133.691564043,MEX
[1] Energía,[1A1a] Actividad principal producción de electricidad y calor,[1A1a] Actividad principal producción de electricidad y calor:HFCS,HFCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[1] Energía,[1A1a] Actividad principal producción de electricidad y calor,[1A1a] Actividad principal producción de electricidad y calor:N2O,N2O,0.1398502359,0.142699466005903,0.141218843576162,0.150285019637214,0.181142773020978,0.169923638474179,0.203086232361131,0.221176587956671,0.242073757391222,0.257973185284787,0.275478477132134,0.290167150784385,0.277027649469113,0.296171980667145,0.280880763184842,0.301613483627077,0.270380802462076,0.284332047019124,0.244240129882274,0.269042149523422,0.262225320137361,0.28315644963964,0.31057059986216,0.291119041867397,0.287216411567215,0.287326455302305,0.31705567643735,0.293212311070412,0.280456831848959,0.284030706973508,0.197193659663212,0.17860343810466,0.194174914861745,0.167283767,MEX
[1] Energía,[1A1a] Actividad principal producción de electricidad y calor,[1A1a] Actividad principal producción de electricidad y calor:NF3,NF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[1] Energía,[1A1a] Actividad principal producción de electricidad y calor,[1A1a] Actividad principal producción de electricidad y calor:PFCS,PFCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[1] Energía,[1A1a] Actividad principal producción de electricidad y calor,[1A1a] Actividad principal producción de electricidad y calor:SF6,SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[1] Energía,[1A1b] Refinación del petróleo,[1A1b] Refinación del petróleo:CH4,CH4,0.01113143796,0.00852579277366481,0.00862321599709709,0.00821237942694264,0.00968191198778072,0.00911325555908654,0.0089733359384952,0.00858983374173278,0.00893329863289059,0.010148343632275,0.00748334463013356,0.00715022417683621,0.00723333924779409,0.00791811200891199,0.00892634191147063,0.0086069548592239,0.00766233847551557,0.00961122372669035,0.0101493494351239,0.00974289575965459,0.00900133959434643,0.00983439893757559,0.00883718619529338,0.00938133306741295,0.00934503041400988,0.00770723275664641,0.00832935448979326,0.00672099301027719,0.00618029821411878,0.00649865088917296,0.00522727086534321,0.00587905877523888,0.00656113367899672,0.006451,MEX
[1] Energía,[1A1b] Refinación del petróleo,[1A1b] Refinación del petróleo:CO2,CO2,11.55092475,9.05136963727803,9.27624950201213,8.94002532166068,10.3743749502237,9.85287140309294,9.79786402284745,9.86711962298281,10.3842946586153,11.5872656806313,9.22663596535978,9.21254178313971,9.2053530790027,10.3933512345286,11.3092713859206,11.1537115934791,10.3105471458442,12.1861219287003,12.9632552509963,12.4963457681847,12.216355825124,13.4734611598906,12.8350994048887,13.5701734931165,13.4545857374927,11.7969208106796,12.702299681423,10.8295980597646,9.21734561047803,10.2386779676589,8.48701520687283,9.49040164535865,10.343878111687,10.251174,MEX
[1] Energía,[1A1b] Refinación del petróleo,[1A1b] Refinación del petróleo:HFCS,HFCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[1] Energía,[1A1b] Refinación del petróleo,[1A1b] Refinación del petróleo:N2O,N2O,0.02020382142,0.0153014073750756,0.0153733389972526,0.0145513160290707,0.0172952931312925,0.0162050524398498,0.0158746735132187,0.0147827010769971,0.0152698665632715,0.0175242338662603,0.012344176952805,0.0114585795730771,0.011688611640948,0.012526931722006,0.0144673110333561,0.0137385920267655,0.0119079572021844,0.0155695868763319,0.0163609504218137,0.0156614772853874,0.0139007303982207,0.0150800249023483,0.0129341306712598,0.0137773576730873,0,0.0107693864825404,0.0116783906836972,0.00893181399329805,0.00884119617035999,0.00883348521137848,0.00689228540804654,0.00779817027062394,0.00866008264092306,0.008443,MEX
