time_period,primary_id,nemomod_entc_annual_production_by_technology_pp_biogas,nemomod_entc_annual_production_by_technology_pp_biomass,nemomod_entc_annual_production_by_technology_pp_coal,nemomod_entc_annual_production_by_technology_pp_coal_ccs,nemomod_entc_annual_production_by_technology_pp_gas,nemomod_entc_annual_production_by_technology_pp_gas_ccs,nemomod_entc_annual_production_by_technology_pp_geothermal,nemomod_entc_annual_production_by_technology_pp_hydropower,nemomod_entc_annual_production_by_technology_pp_nuclear,nemomod_entc_annual_production_by_technology_pp_ocean,nemomod_entc_annual_production_by_technology_pp_oil,nemomod_entc_annual_production_by_technology_pp_solar,nemomod_entc_annual_production_by_technology_pp_waste_incineration,nemomod_entc_annual_production_by_technology_pp_wind,nemomod_entc_annual_production_by_technology_st_batteries,nemomod_entc_annual_production_by_technology_st_compressed_air,nemomod_entc_annual_production_by_technology_st_flywheels,nemomod_entc_annual_production_by_technology_st_pumped_hydro
0,0,0.0,0.772069781348688,128.49960941714045,0.0,707.9147204020494,0.0,24.05946924340929,117.1198231068961,44.00260213305339,0.0,120.01988189803042,5.233296624934025,0.0,33.23855520969352,0.0,0.0,0.0,0.0
1,0,0.0,0.0,130.22473945955116,0.0,723.797465000023,0.0,23.145376049672773,115.56499760709964,39.78158586560231,0.0,127.7212136137888,7.247046786321693,0.0,39.066291904992546,0.0,0.0,0.0,0.0
2,0,0.0069787055871744,0.0,115.45963281688884,0.0,706.4624474008681,0.0,26.05593776992127,118.90624483744588,40.46329616926125,0.0,143.13663051943124,11.700046491918854,2.433601183069703,38.823645603995054,0.0,0.0,0.0,0.0
3,0,0.0141366948606273,0.0,95.09445261047944,0.0,706.3373277687645,0.0,18.71869546657635,113.27335251476045,47.62384187916803,0.0,164.32750459748294,12.789560247324603,4.948104726689981,44.84476916624007,0.0,0.0,0.0,0.0
4,0,0.0213703439243982,0.0,96.82622116184956,0.0,720.0760598059637,0.0,19.94599286415299,88.40201150785967,41.71101801016191,0.0,171.5109367914176,34.33332625701787,7.439038591865297,62.920642878406696,0.0,0.0,0.0,0.0
5,0,0.0282183038801411,0.0,67.72646029108117,0.0,701.2531711799345,0.0,20.747712227147556,104.5848490489578,43.921190094559755,0.0,179.68610684276518,43.756829788278225,9.420094954298124,76.83673422301923,0.0,0.0,0.0,0.0
6,0,0.0353073266901978,0.0,57.35561457567086,0.0,744.2230870753123,0.0,14.57695293898521,115.3894583092046,39.83520591486468,0.0,173.1226108560997,46.18645830273079,12.133178722929662,72.9745711748004,0.0,0.0,0.0,0.0
7,0,0.0358173176425444,0.0,94.256144714959,0.0,729.1485012156286,0.0,23.806425582747995,140.3196177820276,42.466538358796846,0.0,96.54190080328328,80.40070295226671,12.466211079812494,80.74121781622902,0.0,0.0,0.0,0.0
8,0,0.036290670848171,0.0,89.79116409170008,0.0,834.4758693025838,0.0,16.598400915258637,75.16720878521122,47.57875410283279,0.0,89.8871977699256,77.96859798160229,12.75922544196283,79.51559853135039,0.0,0.0,0.0,0.0
9,0,0.0367024396645746,0.0,52.70267358761007,0.0,791.4099314011471,0.0,21.73783947592981,88.51256960905495,45.74655514916164,0.0,133.86620813508307,88.51477148981259,12.98997754388577,101.02671938773696,0.0,0.0,0.0,0.0
10,0,0.0370507915453896,0.0,53.100597181974805,0.0,797.3853528187263,0.0,21.906530180053412,89.1808704265978,46.09195761957897,0.0,134.8769447652948,89.18308893232428,13.149256323809349,101.7895064072383,0.0,0.0,0.0,0.0
11,0,0.0374051865283694,4.3092448620472235,53.650615913729055,0.0,805.6447115406967,0.0,16.995146153677208,75.25750432266094,38.89584933632612,0.0,136.2740071344517,91.13116473437952,13.3466423573311,123.6518155861541,0.0,0.0,0.0,0.0
12,0,0.037770397453958,12.429322713217216,54.260503052956516,0.0,814.803084468705,0.0,14.048523178756035,75.2575043226609,38.895849336326116,0.0,137.82313686850614,91.1311647343795,13.557375212148877,120.81148695957609,0.0,0.0,0.0,0.0
13,0,0.0381379545134088,0.0,54.887924159729806,0.0,824.2247562980414,0.0,14.21096804132472,75.25750432266092,38.8958493363261,0.0,139.41680335163127,92.1849259975838,13.772054703356137,134.4220735203591,0.0,0.0,0.0,0.0
14,0,0.0385074982460443,0.0,56.02820922560857,0.0,841.3478520412718,0.0,14.506197909775311,75.25750432266092,38.89584933632611,0.0,142.31315808225995,94.10004842247788,13.990334419747828,136.74889025739003,0.0,0.0,0.0,0.0
15,0,0.0388870354960503,0.0,57.24291025923416,0.0,859.5884154938349,0.0,14.82069472911908,75.25750432266094,38.89584933632611,0.0,145.3985313720782,99.56441352591295,14.22167311796696,135.80385941805753,0.0,0.0,0.0,0.0
16,0,0.0392391948269955,0.0,58.51309801103629,0.0,878.6621954957021,0.0,15.14955754956048,75.25750432266094,38.8958493363261,0.0,148.62484241815295,103.91966505659954,14.45914068582294,136.17519564642515,0.0,0.0,0.0,0.0
17,0,0.0396000515250221,0.0,59.86125463205292,0.0,898.9067953675312,0.0,15.498607198445251,75.25750432266089,38.8958493363261,0.0,152.04919648868594,104.98312582257094,14.708986971624626,140.12904094420907,0.0,0.0,0.0,0.0
18,0,0.039969838033,0.0,61.29306292423214,0.0,920.40755092995,0.0,15.869315003357851,75.25750432266094,38.8958493363261,0.0,155.68602805344094,106.11662291031249,14.971833173922604,144.32478657706582,0.0,0.0,0.0,0.0
